application_id,applicant_id,cohort_id,channel_id,application_date,eligibility_status,interview_result,offer_status,application_status,stage,exit_reason_id
1,1,2,1,2015-11-07,Eligible,Passed,Offered,Enrolled,Selection,
2,2,2,1,2015-07-12,Eligible,Passed,Offered,Enrolled,Selection,
3,3,1,4,2015-10-11,Eligible,Passed,Offered,Enrolled,Selection,
4,4,2,1,2015-05-13,Eligible,Failed,Not Offered,Rejected,Interview,6.0
5,5,2,1,2015-10-11,Eligible,Passed,Offered,Enrolled,Selection,
6,6,1,2,2015-07-16,Eligible,Passed,Offered,Enrolled,Selection,
7,7,2,3,2015-09-20,Eligible,Passed,Offered,Enrolled,Selection,
8,8,2,1,2015-05-15,Eligible,Passed,Offered,Enrolled,Selection,
9,9,2,1,2015-07-13,Eligible,Failed,Not Offered,Rejected,Interview,7.0
10,10,2,1,2015-08-01,Eligible,Passed,Offered,Enrolled,Selection,
11,11,2,4,2015-01-09,Eligible,Passed,Offered,Enrolled,Selection,
12,12,1,3,2015-01-25,Not Eligible,Not Interviewed,Not Offered,Rejected,Eligibility,1.0
13,13,2,3,2015-03-10,Eligible,Passed,Offered,Enrolled,Selection,
14,14,2,3,2015-09-14,Eligible,Passed,Offered,Enrolled,Selection,
15,15,1,1,2015-08-14,Eligible,Failed,Not Offered,Rejected,Interview,7.0
16,16,1,7,2015-05-11,Eligible,Passed,Offered,Enrolled,Selection,
17,17,2,2,2015-07-23,Not Eligible,Not Interviewed,Not Offered,Rejected,Eligibility,4.0
18,18,2,2,2015-12-18,Eligible,Passed,Offered,Enrolled,Selection,
19,19,1,5,2015-03-09,Not Eligible,Not Interviewed,Not Offered,Rejected,Eligibility,1.0
20,20,1,1,2015-02-27,Eligible,Failed,Not Offered,Rejected,Interview,6.0
21,21,1,3,2015-07-15,Eligible,Failed,Not Offered,Rejected,Interview,7.0
22,22,2,1,2015-08-23,Eligible,Passed,Offered,Enrolled,Selection,
23,23,2,1,2015-03-03,Eligible,Passed,Offered,Enrolled,Selection,
