cohort_id,program_id,county_id,year,cohort_name,capacity,delivery_mode,start_date,end_date
1,1,3,2015,TC-2015-01,15,Physical,2015-01-09,2015-03-09
2,1,1,2015,TC-2015-02,15,Physical,2015-03-04,2015-05-04
3,1,3,2016,TC-2016-01,18,Physical,2016-09-03,2016-11-03
4,1,3,2016,TC-2016-02,18,Physical,2016-01-01,2016-03-01
5,1,1,2016,TC-2016-03,18,Physical,2016-04-17,2016-06-17
6,2,3,2016,MGIS-2016-01,18,Physical,2016-09-07,2016-11-07
7,1,3,2017,TC-2017-01,22,Physical,2017-09-14,2017-11-14
8,1,1,2017,TC-2017-02,22,Physical,2017-10-09,2017-12-09
9,1,4,2017,TC-2017-03,22,Physical,2017-01-06,2017-03-06
10,2,3,2017,MGIS-2017-01,22,Physical,2017-06-09,2017-08-09
11,3,1,2017,DGM-2017-01,22,Physical,2017-06-04,2017-08-04
12,1,1,2018,TC-2018-01,28,Physical,2018-02-12,2018-04-12
13,1,4,2018,TC-2018-02,28,Physical,2018-10-09,2018-12-09
14,1,4,2018,TC-2018-03,28,Physical,2018-08-18,2018-10-18
15,2,1,2018,MGIS-2018-01,28,Physical,2018-07-03,2018-09-03
16,3,2,2018,DGM-2018-01,28,Physical,2018-10-12,2018-12-12
17,4,2,2018,SCK-2018-01,28,Physical,2018-02-02,2018-04-02
18,1,3,2019,TC-2019-01,35,Physical,2019-05-03,2019-07-03
19,1,4,2019,TC-2019-02,35,Physical,2019-02-13,2019-04-13
20,1,1,2019,TC-2019-03,35,Physical,2019-06-06,2019-08-06
21,2,2,2019,MGIS-2019-01,35,Physical,2019-04-09,2019-06-09
22,3,3,2019,DGM-2019-01,35,Physical,2019-02-20,2019-04-20
23,4,3,2019,SCK-2019-01,35,Physical,2019-09-08,2019-11-08
24,5,1,2020,C-2020-01,22,Online,2020-07-09,2020-09-09
25,5,6,2020,C-2020-02,22,Online,2020-09-08,2020-11-08
26,5,3,2020,C-2020-03,22,Online,2020-01-08,2020-03-08
27,5,4,2020,C-2020-04,22,Online,2020-06-13,2020-08-13
28,5,1,2020,C-2020-05,22,Online,2020-04-19,2020-06-19
29,5,5,2020,C-2020-06,22,Online,2020-06-07,2020-08-07
30,5,3,2020,C-2020-07,22,Online,2020-07-15,2020-09-15
31,5,1,2020,C-2020-08,22,Online,2020-03-08,2020-05-08
32,5,3,2020,C-2020-09,22,Online,2020-09-09,2020-11-09
33,5,3,2020,C-2020-10,22,Online,2020-07-19,2020-09-19
34,5,2,2020,C-2020-11,22,Online,2020-04-05,2020-06-05
35,5,2,2020,C-2020-12,22,Online,2020-02-02,2020-04-02
36,5,5,2021,C-2021-01,24,Physical,2021-03-06,2021-05-06
37,5,4,2021,C-2021-02,24,Physical,2021-07-20,2021-09-20
38,5,1,2021,C-2021-03,24,Physical,2021-07-20,2021-09-20
39,5,6,2021,C-2021-04,24,Physical,2021-09-09,2021-11-09
40,5,6,2021,C-2021-05,24,Physical,2021-01-04,2021-03-04
41,5,3,2021,C-2021-06,24,Physical,2021-09-09,2021-11-09
42,5,4,2021,C-2021-07,24,Physical,2021-06-04,2021-08-04
43,5,1,2021,C-2021-08,24,Physical,2021-03-15,2021-05-15
44,6,1,2021,A-2021-01,24,Physical,2021-05-17,2021-07-17
45,6,4,2021,A-2021-02,24,Physical,2021-09-04,2021-11-04
46,5,5,2022,C-2022-01,32,Physical,2022-05-17,2022-07-17
47,5,3,2022,C-2022-02,32,Physical,2022-03-12,2022-05-12
48,5,4,2022,C-2022-03,32,Physical,2022-09-17,2022-11-17
49,5,5,2022,C-2022-04,32,Physical,2022-10-11,2022-12-11
50,5,2,2022,C-2022-05,32,Physical,2022-02-12,2022-04-12
51,5,5,2022,C-2022-06,32,Physical,2022-05-08,2022-07-08
52,5,1,2022,C-2022-07,32,Physical,2022-10-03,2022-12-03
53,5,1,2022,C-2022-08,32,Physical,2022-08-03,2022-10-03
54,6,6,2022,A-2022-01,32,Physical,2022-09-05,2022-11-05
55,6,1,2022,A-2022-02,32,Physical,2022-08-18,2022-10-18
56,7,1,2022,CWITA-2022-01,32,Physical,2022-09-20,2022-11-20
57,7,2,2022,CWITA-2022-02,32,Physical,2022-04-18,2022-06-18
58,5,3,2023,C-2023-01,40,Physical,2023-04-10,2023-06-10
59,5,2,2023,C-2023-02,40,Physical,2023-06-15,2023-08-15
60,5,5,2023,C-2023-03,40,Physical,2023-08-04,2023-10-04
61,5,1,2023,C-2023-04,40,Physical,2023-02-11,2023-04-11
62,5,1,2023,C-2023-05,40,Physical,2023-09-08,2023-11-08
63,5,3,2023,C-2023-06,40,Physical,2023-01-03,2023-03-03
64,5,3,2023,C-2023-07,40,Physical,2023-01-08,2023-03-08
65,5,1,2023,C-2023-08,40,Physical,2023-01-11,2023-03-11
66,5,1,2023,C-2023-09,40,Physical,2023-04-09,2023-06-09
67,6,3,2023,A-2023-01,40,Physical,2023-04-18,2023-06-18
68,6,1,2023,A-2023-02,40,Physical,2023-10-19,2023-12-19
69,6,2,2023,A-2023-03,40,Physical,2023-08-14,2023-10-14
70,7,1,2023,CWITA-2023-01,40,Physical,2023-02-14,2023-04-14
71,7,2,2023,CWITA-2023-02,40,Physical,2023-07-15,2023-09-15
72,5,5,2024,C-2024-01,52,Physical,2024-01-04,2024-03-04
73,5,1,2024,C-2024-02,52,Physical,2024-06-04,2024-08-04
74,5,1,2024,C-2024-03,52,Physical,2024-04-18,2024-06-18
75,5,2,2024,C-2024-04,52,Physical,2024-07-06,2024-09-06
76,5,1,2024,C-2024-05,52,Physical,2024-04-03,2024-06-03
77,5,2,2024,C-2024-06,52,Physical,2024-09-04,2024-11-04
78,5,1,2024,C-2024-07,52,Physical,2024-09-01,2024-11-01
79,5,6,2024,C-2024-08,52,Physical,2024-04-06,2024-06-06
80,5,2,2024,C-2024-09,52,Physical,2024-08-07,2024-10-07
81,5,5,2024,C-2024-10,52,Physical,2024-01-06,2024-03-06
82,6,2,2024,A-2024-01,52,Physical,2024-07-09,2024-09-09
83,6,5,2024,A-2024-02,52,Physical,2024-08-10,2024-10-10
84,6,2,2024,A-2024-03,52,Physical,2024-09-16,2024-11-16
85,7,1,2024,CWITA-2024-01,52,Physical,2024-05-07,2024-07-07
86,7,6,2024,CWITA-2024-02,52,Physical,2024-10-18,2024-12-18
87,7,1,2024,CWITA-2024-03,52,Physical,2024-06-02,2024-08-02
88,5,1,2025,C-2025-01,60,Physical,2025-08-17,2025-10-17
89,5,5,2025,C-2025-02,60,Physical,2025-09-06,2025-11-06
90,5,1,2025,C-2025-03,60,Physical,2025-09-03,2025-11-03
91,5,4,2025,C-2025-04,60,Physical,2025-02-20,2025-04-20
92,5,1,2025,C-2025-05,60,Physical,2025-04-13,2025-06-13
93,5,1,2025,C-2025-06,60,Physical,2025-10-08,2025-12-08
94,5,2,2025,C-2025-07,60,Physical,2025-01-20,2025-03-20
95,5,1,2025,C-2025-08,60,Physical,2025-10-19,2025-12-19
96,5,2,2025,C-2025-09,60,Physical,2025-05-07,2025-07-07
97,5,3,2025,C-2025-10,60,Physical,2025-06-08,2025-08-08
98,5,1,2025,C-2025-11,60,Physical,2025-03-10,2025-05-10
99,6,2,2025,A-2025-01,60,Physical,2025-02-01,2025-04-01
100,6,2,2025,A-2025-02,60,Physical,2025-10-04,2025-12-04
101,6,1,2025,A-2025-03,60,Physical,2025-04-17,2025-06-17
102,6,1,2025,A-2025-04,60,Physical,2025-06-03,2025-08-03
103,7,5,2025,CWITA-2025-01,60,Physical,2025-06-10,2025-08-10
