enrollment_id,application_id,enrollment_date,completion_status,completion_date
1,1,2015-11-16,Completed,2015-05-08
2,2,2015-07-20,Completed,2015-05-05
3,3,2015-10-20,Withdrawn,2015-03-09
4,5,2015-10-17,Completed,2015-03-14
5,6,2015-07-23,Completed,2015-05-09
6,7,2015-09-25,Completed,2015-03-10
7,8,2015-05-20,Completed,2015-03-13
8,10,2015-08-09,Completed,2015-05-05
9,11,2015-01-22,Completed,2015-03-12
10,13,2015-03-14,Completed,2015-03-09
11,14,2015-09-27,Completed,2015-03-09
12,16,2015-05-22,Completed,2015-05-08
13,18,2015-12-25,Completed,2015-05-07
14,22,2015-08-27,Completed,2015-03-10
15,23,2015-03-07,Completed,2015-03-11
16,24,2015-12-24,Completed,2015-05-07
17,25,2015-12-07,Completed,2015-05-07
18,26,2015-08-08,Completed,2015-03-09
19,28,2015-05-20,Completed,2015-03-12
20,29,2015-03-04,Completed,2015-05-09
21,30,2015-07-14,Completed,2015-05-09
22,31,2015-09-22,Withdrawn,2015-05-04
23,32,2015-09-11,Completed,2015-05-04
24,34,2015-11-04,Completed,2015-03-14
25,35,2015-07-30,Completed,2015-03-13
26,36,2015-05-28,Completed,2015-03-12
27,37,2015-04-18,Completed,2015-05-04
28,38,2015-09-16,Withdrawn,2015-05-04
29,39,2015-10-16,Completed,2015-03-11
30,40,2015-12-04,Completed,2015-05-06
31,121,2016-08-22,Completed,2016-03-06
32,123,2016-09-12,Completed,2016-03-03
33,124,2016-09-03,Completed,2016-11-04
34,125,2016-03-04,Completed,2016-03-05
35,126,2016-06-29,Completed,2016-06-22
36,127,2016-12-28,Completed,2016-06-22
37,128,2016-09-03,Completed,2016-11-08
38,129,2016-02-20,Completed,2016-03-01
39,130,2016-10-05,Completed,2016-03-01
40,131,2016-09-07,Completed,2016-11-07
41,132,2016-01-29,Completed,2016-03-02
42,133,2016-12-29,Withdrawn,2016-03-01
43,134,2016-12-07,Completed,2016-11-07
44,135,2016-09-07,Completed,2016-11-07
45,136,2016-07-06,Completed,2016-03-02
46,137,2016-09-03,Withdrawn,2016-10-12
47,138,2016-11-11,Completed,2016-11-04
48,139,2016-12-16,Completed,2016-06-18
49,140,2016-12-03,Completed,2016-11-11
50,141,2016-12-27,Completed,2016-11-05
51,142,2016-07-24,Completed,2016-06-19
52,144,2016-12-02,Completed,2016-11-06
53,145,2016-02-18,Completed,2016-03-03
54,146,2016-09-03,Completed,2016-11-03
55,147,2016-10-17,Withdrawn,2016-11-03
56,148,2016-04-17,Completed,2016-06-18
57,149,2016-09-16,Completed,2016-06-19
58,151,2016-05-12,Completed,2016-03-02
59,152,2016-09-07,Completed,2016-11-08
60,153,2016-09-03,Completed,2016-11-05
61,154,2016-10-10,Completed,2016-06-20
62,156,2016-04-17,Completed,2016-06-21
63,158,2016-10-03,Completed,2016-03-05
64,159,2016-05-15,Completed,2016-06-21
65,160,2016-03-18,Completed,2016-03-03
66,161,2016-09-03,Completed,2016-11-06
67,162,2016-02-26,Completed,2016-03-03
68,163,2016-09-03,Completed,2016-11-07
69,164,2016-02-17,Completed,2016-03-02
70,165,2016-09-03,Completed,2016-11-06
71,166,2016-05-15,Completed,2016-03-04
72,167,2016-09-03,Completed,2016-11-05
73,168,2016-09-03,Completed,2016-11-03
74,169,2016-07-15,Completed,2016-06-19
75,170,2016-10-22,Completed,2016-11-08
76,171,2016-12-02,Completed,2016-03-05
77,301,2017-06-04,Completed,2017-08-08
78,302,2017-10-09,Completed,2017-12-09
79,303,2017-06-09,Completed,2017-08-12
80,304,2017-10-09,Completed,2017-12-10
81,305,2017-10-24,Completed,2017-03-09
82,306,2017-10-09,Completed,2017-12-12
83,307,2017-09-14,Completed,2017-11-14
84,308,2017-09-09,Completed,2017-08-05
85,309,2017-09-14,Completed,2017-08-09
86,310,2017-09-14,Completed,2017-11-15
87,311,2017-06-23,Completed,2017-08-12
88,312,2017-12-25,Completed,2017-08-09
89,313,2017-09-14,Completed,2017-11-15
90,314,2017-11-04,Completed,2017-08-09
91,315,2017-10-02,Completed,2017-03-11
92,316,2017-11-24,Withdrawn,2017-12-09
93,317,2017-06-09,Withdrawn,2017-07-22
94,318,2017-11-23,Completed,2017-11-15
95,319,2017-07-18,Completed,2017-03-11
96,320,2017-09-14,Completed,2017-11-15
97,321,2017-10-09,Completed,2017-12-11
98,322,2017-06-09,Completed,2017-08-12
99,323,2017-11-20,Completed,2017-08-08
100,324,2017-01-25,Completed,2017-03-11
101,325,2017-12-28,Completed,2017-08-13
102,326,2017-12-26,Completed,2017-03-06
103,327,2017-09-14,Completed,2017-11-15
104,328,2017-12-29,Completed,2017-08-07
