participant_resource_id,enrollment_id,resource_id,quantity
1,1,3,1
2,1,4,1
3,1,5,1
4,1,6,1
5,1,7,1
6,1,8,1
7,2,3,1
8,2,4,1
9,2,5,1
10,2,6,1
11,2,7,1
12,2,8,1
13,3,3,1
14,3,4,1
15,3,5,1
16,3,6,1
17,3,7,1
18,3,8,1
19,4,3,1
20,4,4,1
21,4,5,1
22,4,6,1
23,4,7,1
24,4,8,1
25,5,1,1
26,5,3,1
27,5,4,1
28,5,5,1
29,5,6,1
30,5,7,1
31,5,8,1
32,6,1,1
33,6,3,1
34,6,4,1
35,6,5,1
36,6,6,1
37,6,7,1
38,6,8,1
39,7,3,1
40,7,4,1
41,7,5,1
42,7,6,1
43,7,7,1
44,7,8,1
45,8,3,1
46,8,4,1
47,8,5,1
48,8,6,1
49,8,7,1
50,8,8,1
51,9,1,1
52,9,3,1
53,9,4,1
54,9,5,1
55,9,6,1
56,9,7,1
57,9,8,1
58,10,3,1
59,10,4,1
60,10,5,1
61,10,6,1
62,10,7,1
63,10,8,1
64,11,3,1
65,11,4,1
66,11,5,1
67,11,7,1
68,11,8,1
69,12,3,1
70,12,4,1
71,12,5,1
72,12,6,1
73,12,7,1
74,12,8,1
75,13,3,1
76,13,4,1
77,13,5,1
78,13,6,1
79,13,7,1
80,13,8,1
81,14,3,1
82,14,4,1
83,14,5,1
84,14,7,1
85,14,8,1
86,15,1,1
87,15,3,1
88,15,4,1
89,15,5,1
90,15,7,1
91,15,8,1
92,16,3,1
93,16,4,1
94,16,5,1
95,16,7,1
96,16,8,1
97,17,3,1
98,17,4,1
99,17,5,1
100,17,7,1
101,17,8,1
102,18,1,1
103,18,3,1
104,18,4,1
105,18,5,1
106,18,6,1
107,18,7,1
108,18,8,1
109,19,3,1
110,19,4,1
111,19,5,1
112,19,6,1
113,19,7,1
114,19,8,1
115,20,3,1
116,20,4,1
117,20,5,1
118,20,7,1
119,20,8,1
120,21,3,1
121,21,4,1
122,21,5,1
123,21,7,1
124,21,8,1
125,22,3,1
126,22,4,1
127,22,5,1
128,22,7,1
129,22,8,1
130,23,1,1
131,23,3,1
132,23,4,1
133,23,5,1
134,23,6,1
135,23,7,1
136,23,8,1
137,24,3,1
138,24,4,1
139,24,5,1
140,24,7,1
141,24,8,1
142,25,3,1
143,25,4,1
144,25,5,1
145,25,6,1
146,25,7,1
147,25,8,1
148,26,3,1
149,26,4,1
150,26,5,1
151,26,6,1
152,26,7,1
153,26,8,1
154,27,3,1
155,27,4,1
156,27,5,1
157,27,6,1
158,27,7,1
159,27,8,1
160,28,1,1
161,28,3,1
162,28,4,1
163,28,5,1
164,28,6,1
165,28,7,1
166,28,8,1
167,29,3,1
168,29,4,1
169,29,5,1
170,29,6,1
171,29,7,1
172,29,8,1
173,30,3,1
174,30,4,1
175,30,5,1
176,30,6,1
177,30,7,1
178,30,8,1
179,31,3,1
180,31,4,1
181,31,5,1
182,31,6,1
183,31,7,1
184,31,8,1
185,32,3,1
186,32,4,1
187,32,5,1
188,32,6,1
189,32,7,1
190,32,8,1
191,33,3,1
192,33,4,1
193,33,5,1
194,33,6,1
195,33,7,1
196,33,8,1
197,34,3,1
198,34,4,1
199,34,5,1
200,34,7,1
201,34,8,1
202,35,3,1
203,35,4,1
204,35,5,1
205,35,6,1
206,35,7,1
207,35,8,1
208,36,1,1
209,36,3,1
210,36,4,1
211,36,5,1
212,36,6,1
213,36,7,1
214,36,8,1
215,37,3,1
216,37,4,1
217,37,5,1
218,37,6,1
219,37,7,1
220,37,8,1
221,38,3,1
222,38,4,1
223,38,5,1
224,38,6,1
225,38,7,1
226,38,8,1
227,39,1,1
228,39,3,1
229,39,4,1
230,39,5,1
231,39,6,1
232,39,7,1
233,39,8,1
234,40,3,1
235,40,4,1
236,40,5,1
237,40,6,1
238,40,7,1
239,40,8,1
240,41,3,1
241,41,4,1
242,41,5,1
243,41,7,1
244,41,8,1
245,42,1,1
246,42,3,1
247,42,4,1
248,42,5,1
249,42,7,1
250,42,8,1
251,43,3,1
252,43,4,1
253,43,5,1
254,43,6,1
255,43,7,1
256,43,8,1
257,44,1,1
258,44,3,1
259,44,4,1
260,44,5,1
261,44,6,1
262,44,7,1
263,44,8,1
264,45,3,1
265,45,4,1
266,45,5,1
267,45,7,1
268,45,8,1
269,46,3,1
270,46,4,1
271,46,5,1
272,46,6,1
273,46,7,1
274,46,8,1
275,47,3,1
276,47,4,1
277,47,5,1
278,47,6,1
279,47,7,1
280,47,8,1
281,48,3,1
282,48,4,1
283,48,5,1
284,48,7,1
285,48,8,1
286,49,3,1
287,49,4,1
288,49,5,1
289,49,6,1
290,49,7,1
291,49,8,1
292,50,3,1
293,50,4,1
294,50,5,1
295,50,6,1
296,50,7,1
297,50,8,1
298,51,3,1
299,51,4,1
300,51,5,1
301,51,6,1
302,51,7,1
303,51,8,1
304,52,3,1
305,52,4,1
306,52,5,1
307,52,6,1
308,52,7,1
309,52,8,1
310,53,1,1
311,53,3,1
312,53,4,1
313,53,5,1
314,53,6,1
315,53,7,1
316,53,8,1
317,54,3,1
318,54,4,1
319,54,5,1
320,54,6,1
321,54,7,1
322,54,8,1
323,55,3,1
324,55,4,1
325,55,5,1
326,55,7,1
327,55,8,1
328,56,3,1
329,56,4,1
330,56,5,1
331,56,6,1
332,56,7,1
333,56,8,1
334,57,3,1
335,57,4,1
336,57,5,1
337,57,7,1
338,57,8,1
339,58,3,1
340,58,4,1
341,58,5,1
342,58,6,1
343,58,7,1
344,58,8,1
345,59,3,1
346,59,4,1
347,59,5,1
348,59,6,1
349,59,7,1
350,59,8,1
351,60,1,1
352,60,3,1
353,60,4,1
354,60,5,1
355,60,7,1
356,60,8,1
357,61,1,1
358,61,3,1
359,61,4,1
360,61,5,1
361,61,6,1
362,61,7,1
363,61,8,1
364,62,3,1
365,62,4,1
366,62,5,1
367,62,6,1
368,62,7,1
369,62,8,1
370,63,3,1
371,63,4,1
372,63,5,1
373,63,6,1
374,63,7,1
375,63,8,1
376,64,1,1
377,64,3,1
378,64,4,1
379,64,5,1
380,64,6,1
381,64,7,1
382,64,8,1
383,65,1,1
384,65,3,1
385,65,4,1
386,65,5,1
387,65,7,1
388,65,8,1
389,66,1,1
390,66,3,1
391,66,4,1
392,66,5,1
393,66,6,1
394,66,7,1
395,66,8,1
396,67,3,1
397,67,4,1
398,67,5,1
399,67,6,1
400,67,7,1
401,67,8,1
402,68,3,1
403,68,4,1
404,68,5,1
405,68,6,1
406,68,7,1
407,68,8,1
408,69,3,1
409,69,4,1
410,69,5,1
411,69,6,1
412,69,7,1
413,69,8,1
414,70,3,1
415,70,4,1
416,70,5,1
417,70,7,1
418,70,8,1
419,71,3,1
420,71,4,1
421,71,5,1
422,71,6,1
423,71,7,1
424,71,8,1
425,72,3,1
426,72,4,1
427,72,5,1
428,72,6,1
429,72,7,1
430,72,8,1
431,73,1,1
432,73,3,1
433,73,4,1
434,73,5,1
435,73,6,1
436,73,7,1
437,73,8,1
438,74,3,1
439,74,4,1
440,74,5,1
441,74,6,1
442,74,7,1
443,74,8,1
444,75,3,1
445,75,4,1
446,75,5,1
447,75,6,1
448,75,7,1
449,75,8,1
450,76,3,1
451,76,4,1
452,76,5,1
453,76,6,1
454,76,7,1
455,76,8,1
456,77,3,1
457,77,4,1
458,77,5,1
459,77,6,1
460,77,7,1
461,77,8,1
462,78,3,1
463,78,4,1
464,78,5,1
465,78,7,1
466,78,8,1
467,79,3,1
468,79,4,1
469,79,5,1
470,79,6,1
471,79,7,1
472,79,8,1
473,80,3,1
474,80,4,1
475,80,5,1
476,80,6,1
477,80,7,1
478,80,8,1
479,81,1,1
480,81,3,1
481,81,4,1
482,81,5,1
483,81,7,1
484,81,8,1
485,82,3,1
486,82,4,1
487,82,5,1
488,82,7,1
489,82,8,1
490,83,1,1
491,83,3,1
492,83,4,1
493,83,5,1
494,83,6,1
495,83,7,1
496,83,8,1
497,84,1,1
498,84,3,1
499,84,4,1
500,84,5,1
501,84,6,1
502,84,7,1
503,84,8,1
504,85,3,1
505,85,4,1
506,85,5,1
507,85,6,1
508,85,7,1
509,85,8,1
510,86,3,1
511,86,4,1
512,86,5,1
513,86,6,1
514,86,7,1
515,86,8,1
516,87,3,1
517,87,4,1
518,87,5,1
519,87,6,1
520,87,7,1
521,87,8,1
522,88,3,1
523,88,4,1
524,88,5,1
525,88,6,1
526,88,7,1
527,88,8,1
528,89,3,1
529,89,4,1
530,89,5,1
531,89,6,1
532,89,7,1
533,89,8,1
534,90,1,1
535,90,3,1
536,90,4,1
537,90,5,1
538,90,6,1
539,90,7,1
540,90,8,1
541,91,1,1
542,91,3,1
543,91,4,1
544,91,5,1
545,91,6,1
546,91,7,1
547,91,8,1
548,92,3,1
549,92,4,1
550,92,5,1
551,92,6,1
552,92,7,1
553,92,8,1
554,93,3,1
555,93,4,1
556,93,5,1
557,93,6,1
558,93,7,1
559,93,8,1
560,94,1,1
561,94,3,1
562,94,4,1
563,94,5,1
564,94,6,1
565,94,7,1
566,94,8,1
567,95,3,1
568,95,4,1
569,95,5,1
570,95,6,1
571,95,7,1
572,95,8,1
573,96,3,1
574,96,4,1
575,96,5,1
576,96,7,1
577,96,8,1
578,97,3,1
579,97,4,1
580,97,5,1
581,97,6,1
582,97,7,1
583,97,8,1
584,98,3,1
585,98,4,1
586,98,5,1
587,98,6,1
588,98,7,1
589,98,8,1
590,99,3,1
591,99,4,1
592,99,5,1
593,99,6,1
594,99,7,1
595,99,8,1
596,100,3,1
597,100,4,1
598,100,5,1
599,100,6,1
600,100,7,1
601,100,8,1
602,101,3,1
603,101,4,1
604,101,5,1
605,101,6,1
606,101,7,1
607,101,8,1
608,102,1,1
609,102,3,1
610,102,4,1
611,102,5,1
612,102,6,1
613,102,7,1
614,102,8,1
615,103,3,1
616,103,4,1
617,103,5,1
618,103,6,1
619,103,7,1
620,103,8,1
621,104,3,1
622,104,4,1
623,104,5,1
624,104,6,1
625,104,7,1
626,104,8,1
627,105,3,1
628,105,4,1
629,105,5,1
630,105,6,1
631,105,7,1
632,105,8,1
633,106,3,1
634,106,4,1
635,106,5,1
636,106,6,1
637,106,7,1
638,106,8,1
639,107,3,1
640,107,4,1
641,107,5,1
642,107,7,1
643,107,8,1
644,108,1,1
645,108,3,1
646,108,4,1
647,108,5,1
648,108,6,1
649,108,7,1
650,108,8,1
651,109,1,1
652,109,3,1
653,109,4,1
654,109,5,1
655,109,7,1
656,109,8,1
657,110,3,1
658,110,4,1
659,110,5,1
660,110,6,1
661,110,7,1
662,110,8,1
663,111,3,1
664,111,4,1
665,111,5,1
666,111,7,1
667,111,8,1
668,112,3,1
669,112,4,1
670,112,5,1
671,112,6,1
672,112,7,1
673,112,8,1
674,113,1,1
675,113,3,1
676,113,4,1
677,113,5,1
678,113,6,1
679,113,7,1
680,113,8,1
681,114,3,1
682,114,4,1
683,114,5,1
684,114,6,1
685,114,7,1
686,114,8,1
687,115,3,1
688,115,4,1
689,115,5,1
690,115,7,1
691,115,8,1
692,116,3,1
693,116,4,1
694,116,5,1
695,116,6,1
696,116,7,1
697,116,8,1
698,117,1,1
699,117,3,1
700,117,4,1
701,117,5,1
702,117,6,1
703,117,7,1
704,117,8,1
705,118,1,1
706,118,3,1
707,118,4,1
708,118,5,1
709,118,7,1
710,118,8,1
711,119,3,1
712,119,4,1
713,119,5,1
714,119,6,1
715,119,7,1
716,119,8,1
717,120,1,1
718,120,3,1
719,120,4,1
720,120,5,1
721,120,7,1
722,120,8,1
723,121,1,1
724,121,3,1
725,121,4,1
726,121,5,1
727,121,6,1
728,121,7,1
729,121,8,1
730,122,1,1
731,122,3,1
732,122,4,1
733,122,5,1
734,122,6,1
735,122,7,1
736,122,8,1
737,123,1,1
738,123,3,1
739,123,4,1
740,123,5,1
741,123,7,1
742,123,8,1
743,124,3,1
744,124,4,1
745,124,5,1
746,124,6,1
747,124,7,1
748,124,8,1
749,125,3,1
750,125,4,1
751,125,5,1
752,125,6,1
753,125,7,1
754,125,8,1
755,126,1,1
756,126,3,1
757,126,4,1
758,126,5,1
759,126,6,1
760,126,7,1
761,126,8,1
762,127,3,1
763,127,4,1
764,127,5,1
765,127,6,1
766,127,7,1
767,127,8,1
768,128,1,1
769,128,3,1
770,128,4,1
771,128,5,1
772,128,6,1
773,128,7,1
774,128,8,1
775,129,3,1
776,129,4,1
777,129,5,1
778,129,6,1
779,129,7,1
780,129,8,1
781,130,3,1
782,130,4,1
783,130,5,1
784,130,6,1
785,130,7,1
786,130,8,1
787,131,3,1
788,131,4,1
789,131,5,1
790,131,6,1
791,131,7,1
792,131,8,1
793,132,1,1
794,132,3,1
795,132,4,1
796,132,5,1
797,132,6,1
798,132,7,1
799,132,8,1
800,133,1,1
801,133,3,1
802,133,4,1
803,133,5,1
804,133,6,1
805,133,7,1
806,133,8,1
807,134,3,1
808,134,4,1
809,134,5,1
810,134,6,1
811,134,7,1
812,134,8,1
813,135,3,1
814,135,4,1
815,135,5,1
816,135,6,1
817,135,7,1
818,135,8,1
819,136,3,1
820,136,4,1
821,136,5,1
822,136,7,1
823,136,8,1
824,137,3,1
825,137,4,1
826,137,5,1
827,137,7,1
828,137,8,1
829,138,3,1
830,138,4,1
831,138,5,1
832,138,6,1
833,138,7,1
834,138,8,1
835,139,1,1
836,139,3,1
837,139,4,1
838,139,5,1
839,139,6,1
840,139,7,1
841,139,8,1
842,140,3,1
843,140,4,1
844,140,5,1
845,140,6,1
846,140,7,1
