allocation_id,cohort_id,resource_id,quantity_needed,quantity_available,allocation_date
1,1,1,15,7,2015-01-09
2,1,3,15,14,2015-01-09
3,1,4,15,14,2015-01-09
4,1,5,15,12,2015-01-09
5,1,6,15,10,2015-01-09
6,1,7,15,15,2015-01-09
7,1,8,15,15,2015-01-09
8,2,1,15,7,2015-03-04
9,2,3,15,15,2015-03-04
10,2,4,15,14,2015-03-04
11,2,5,15,12,2015-03-04
12,2,6,15,11,2015-03-04
13,2,7,15,14,2015-03-04
14,2,8,15,14,2015-03-04
15,3,1,18,8,2016-09-03
16,3,3,18,16,2016-09-03
17,3,4,18,18,2016-09-03
18,3,5,18,16,2016-09-03
19,3,6,18,12,2016-09-03
20,3,7,18,17,2016-09-03
21,3,8,18,17,2016-09-03
22,4,1,18,9,2016-01-01
23,4,3,18,17,2016-01-01
24,4,4,18,16,2016-01-01
25,4,5,18,15,2016-01-01
26,4,6,18,10,2016-01-01
27,4,7,18,16,2016-01-01
28,4,8,18,17,2016-01-01
29,5,1,18,7,2016-04-17
30,5,3,18,17,2016-04-17
31,5,4,18,16,2016-04-17
32,5,5,18,16,2016-04-17
33,5,6,18,9,2016-04-17
34,5,7,18,16,2016-04-17
35,5,8,18,16,2016-04-17
36,6,1,18,9,2016-09-07
37,6,3,18,16,2016-09-07
38,6,4,18,16,2016-09-07
39,6,5,18,14,2016-09-07
40,6,6,18,12,2016-09-07
41,6,7,18,18,2016-09-07
42,6,8,18,18,2016-09-07
43,7,1,22,8,2017-09-14
44,7,3,22,22,2017-09-14
45,7,4,22,20,2017-09-14
46,7,5,22,21,2017-09-14
47,7,6,22,16,2017-09-14
48,7,7,22,20,2017-09-14
49,7,8,22,20,2017-09-14
50,8,1,22,10,2017-10-09
51,8,3,22,20,2017-10-09
52,8,4,22,22,2017-10-09
53,8,5,22,20,2017-10-09
54,8,6,22,12,2017-10-09
55,8,7,22,21,2017-10-09
56,8,8,22,21,2017-10-09
57,9,1,22,12,2017-01-06
58,9,3,22,22,2017-01-06
59,9,4,22,20,2017-01-06
60,9,5,22,17,2017-01-06
61,9,6,22,17,2017-01-06
62,9,7,22,21,2017-01-06
63,9,8,22,22,2017-01-06
64,10,1,22,8,2017-06-09
65,10,3,22,21,2017-06-09
66,10,4,22,19,2017-06-09
67,10,5,22,21,2017-06-09
68,10,6,22,13,2017-06-09
69,10,7,22,21,2017-06-09
70,10,8,22,18,2017-06-09
71,11,1,22,11,2017-06-04
72,11,3,22,22,2017-06-04
73,11,4,22,21,2017-06-04
74,11,5,22,17,2017-06-04
75,11,6,22,15,2017-06-04
76,11,7,22,22,2017-06-04
77,11,8,22,18,2017-06-04
78,12,1,28,11,2018-02-12
79,12,3,28,26,2018-02-12
80,12,4,28,27,2018-02-12
81,12,5,28,26,2018-02-12
82,12,6,28,18,2018-02-12
83,12,7,28,27,2018-02-12
84,12,8,28,27,2018-02-12
85,13,1,28,13,2018-10-09
86,13,3,28,28,2018-10-09
87,13,4,28,26,2018-10-09
88,13,5,28,25,2018-10-09
89,13,6,28,17,2018-10-09
90,13,7,28,27,2018-10-09
91,13,8,28,28,2018-10-09
92,14,1,28,14,2018-08-18
93,14,3,28,25,2018-08-18
94,14,4,28,27,2018-08-18
95,14,5,28,24,2018-08-18
96,14,6,28,20,2018-08-18
97,14,7,28,28,2018-08-18
98,14,8,28,22,2018-08-18
99,15,1,28,11,2018-07-03
100,15,3,28,28,2018-07-03
101,15,4,28,27,2018-07-03
102,15,5,28,25,2018-07-03
103,15,6,28,18,2018-07-03
104,15,7,28,26,2018-07-03
105,15,8,28,24,2018-07-03
106,16,1,28,12,2018-10-12
107,16,3,28,27,2018-10-12
108,16,4,28,26,2018-10-12
109,16,5,28,24,2018-10-12
